1,FEC ID,STATE,STATE ABBREVIATION,GENERAL ELECTION DATE,FIRST NAME,LAST NAME,"LAST NAME,  FIRST",TOTAL VOTES,PARTY,GENERAL RESULTS,TOTAL VOTES #,GENERAL %,,,,
158,P20000527,Iowa,IA,11/4/08,Ralph,Nader,"Nader, Ralph",,PAF,"8,014",,0.52%,,,,
159,n/a,Iowa,IA,11/4/08,,Scattered,Scattered ,,W,"6,737",,0.44%,,,,
160,P80005580,Iowa,IA,11/4/08,Bob,Barr,"Barr, Bob",,LBT,"4,590",,0.30%,,,,
161,P80005499,Iowa,IA,11/4/08,Chuck,Baldwin,"Baldwin, Chuck",,CON,"4,445",,0.29%,,,,
162,P80004930,Iowa,IA,11/4/08,Cynthia,McKinney,"McKinney, Cynthia",,GRE,"1,423",,0.09%,,,,
163,P60004454,Iowa,IA,11/4/08,James,Harris,"Harris, James",,SWP,292,,0.02%,,,,
164,P80005275,Iowa,IA,11/4/08,Brian,Moore,"Moore, Brian",,SOC,182,,0.01%,,,,
165,P80005572,Iowa,IA,11/4/08,Gloria,La Riva,"La Riva, Gloria",,PSL,121,,0.01%,,,,
166,n/a,Iowa,IA,11/4/08,,,,Total State Votes: ,,"1,537,123","1,537,123",,,,,
167,P80002801,Kansas,KS,11/4/08,John,McCain,"McCain, John",,R,"699,655",,56.61%,,,,
168,P80003338,Kansas,KS,11/4/08,Barack,Obama,"Obama, Barack",,D,"514,765",,41.65%,,,,
169,P20000527,Kansas,KS,11/4/08,Ralph,Nader,"Nader, Ralph",,I,"10,527",,0.85%,,,,
170,P80005580,Kansas,KS,11/4/08,Bob,Barr,"Barr, Bob",,LBT,"6,706",,0.54%,,,,
171,P80005499,Kansas,KS,11/4/08,Chuck,Baldwin,"Baldwin, Chuck",,REF,"4,148",,0.34%,,,,
172,P80004930,Kansas,KS,11/4/08,Cynthia A.,McKinney,"McKinney, Cynthia A.",,W,35,,0.00%,,,,
173,P60003076,Kansas,KS,11/4/08,Alan,Keyes,"Keyes, Alan",,W,31,,0.00%,,,,
174,P80005119,Kansas,KS,11/4/08,Jonathan E.,Allen,"Allen, Jonathan E.",,W,2,,0.00%,,,,
175,n/a,Kansas,KS,11/4/08,Frank,Moore,"Moore, Frank",,W,2,,0.00%,,,,
176,P60003530,Kansas,KS,11/4/08,Keith Russell,Judd,"Judd, Keith Russell",,W,1,,0.00%,,,,
177,n/a,Kansas,KS,11/4/08,,,,Total State Votes: ,,"1,235,872","1,235,872",,,,,
178,P80002801,Kentucky,KY,11/4/08,John,McCain,"McCain, John",,R,"1,048,462",,57.40%,,,,
179,P80003338,Kentucky,KY,11/4/08,Barack,Obama,"Obama, Barack",,D,"751,985",,41.17%,,,,
180,P20000527,Kentucky,KY,11/4/08,Ralph,Nader,"Nader, Ralph",,I,"15,378",,0.84%,,,,
181,P80005580,Kentucky,KY,11/4/08,Bob,Barr,"Barr, Bob",,LBT,"5,989",,0.33%,,,,
182,P80005499,Kentucky,KY,11/4/08,Chuck,Baldwin,"Baldwin, Chuck",,CON,"4,694",,0.26%,,,,
183,n/a,Kentucky,KY,11/4/08,Leonard C.,Habermehl,"Habermehl, Leonard C.",,W,57,,0.00%,,,,
184,P60003076,Kentucky,KY,11/4/08,Alan,Keyes,"Keyes, Alan",,W,27,,0.00%,,,,
185,n/a,Kentucky,KY,11/4/08,Billy,Mills,"Mills, Billy",,W,18,,0.00%,,,,
